Title	Description
Athonian Tunnel Rats	The Athonian Tunnel Rats are Imperial Guard Regiments from the Imperial world of Athonos.[2a] Governance of Athonos is vied for by dozens of rival families. The resultant gang warfare - fought in the streets and sewers of the hydroponic gardens - is brutal and unending. Such is the recruiting ground for the Athonian Tunnel Rats. They are masters of urban combat and amongst the most determined close-quarters fighters of the Imperial Guard.[2a]
St Jedask's Haven	St Jedask's Haven is an Imperial Mining World, that is currently being invaded by the Black Legion. While the Adeptus Custodes have come to defeat them, the Traitor Legion's Daemonkin forces have caused a Warp Storm to appear around them. The Master of Possession who leads them is drawing power from it and the Warp Storm is also causing an upheaval in St Jedask's Haven's heavily mined bedrock.
Sixty-Three-Nineteen	Sixty-Three Nineteen was the nineteenth world to be brought back under Imperial rule by the 63rd Expeditionary Fleet under the command of Warmaster Horus during the Great Crusade.[1c] Third planet of nine that orbited a yellow sun, Sixty-Three Nineteen was ruled by a self-appointed "Emperor", who claimed it to be Terra itself. He therefore reasoned that he was the rightful ruler of mankind, and as such he demanded that Horus' forces bow to him instead. After the initial embassies sent from the 63rd Fleet were met with violence, Horus had no choice but to conquer the world by force.[1a] With the removal of the false Emperor, the human population of the planet bitterly accepted their new role as citizens of the Imperium.[1f] After the main battle General Rakris was assigned as a Lord Governor Elect of Sixty-Three-Nineteen.[1c] Some small resistance did continue however, with several cities on the western continent holding out for brief periods and scattered pacification actions required on three other planets in the system. The most serious incident of non-compliance occurred in the Whisperhead Mountains range and lasted for around three months, but this last pocket of resistance was eventually excised by the Luna Wolves' 10th Company.[1e] Sixty-Three Nineteen had a high-tech martial element and at least 3 new STC patterns were recovered from it.[1d]
Arcadia Secundus	Arcadia Secundus is a world of the galaxy. At one time there was a Chaos Cult uprising on the world. Inquisitor Amberley Vail fought against the Cult, despite it falling outside of her usual remit.
Regallus	Regallus was a Hive World of the Imperium. The Crimson Sabres Chapter fought there with eldar pirates raiding its hive spires.[2a] The planet's Hives were enormous, astonishing even a seasoned Space Marine. Later, the Crimson Sabres returned to the planet as the fallen Chaos Space Marines of the Crimson Slaughter during Abaddon the Despoiler's 13th Black Crusade; Regallus was invaded by the forces of Chaos and laid to ruin.[2b]
House Makabius	House Makabius was a Knight House of the Imperium during the Great Crusade that sided with Horus during the Horus Heresy. Originating on the world of Baroda in the Coronid Deeps, House Makabius achieved supremacy during the Age of Strife in 831.M30 when it vanquished the rival House Wentorth and ended the world's eight hundred year civil war. Shortly after, Baroda made contact with the young Imperium but chose to resist, which resulted in its swift defeat by the Imperial Fists in the Battle of Arben Moor. The House pledged loyalty to the Imperium thereafter under the patronage of the Forge World of Mezoa. However due to the poor state of the House and bureaucratic slowness in their upgrading process, the Knights of Makabius saw little action in the Great Crusade and could only brood on their defeat while hearing of great victories being won by the forces of the Imperium elsewhere. Nonetheless a few Knights saw deployment as Freeblades, where they quickly gained a reputation as courageous shock troops and siege-breakers. One of these scions was Markan Hrotham, who gained the favor of Ezekyle Abaddon. Shortly before the Drop Site Massacre, Markan returned to Baroda with a message from Warmaster Horus promising glory and revenge for the neglected House. He was rejected by the ruling council of Lords of Baroda, but Markan undertook a coup with younger Knights which was successful. After seizing power, he launched a bloody purge against loyalists of the planet. Thereafter, House Makabius pledged itself to the Warmaster. Increasing the House's strength from two dozen to nearly two hundred Knights, they left Baroda shortly after, being deployed by traitor forces in the Battle of the Coronid Deeps under the command of the Death Guard.
Vhun	Vhun is an Imperial world.
Palinurus Rhys	Palinurus Rhys is a Frontier World of the Imperium, located in the Calixis Sector.
White Dwarf 318 (UK)	White Dwarf 317 White Dwarf 146 White Dwarf 134 White Dwarf 126 White Dwarf 88
Hellenis	Hellenis was where a member of the Fallen Angels hid until he was captured by the Dark Angels Grand Master Sammael and the Ravenwing.
Samarkis	Samarkis is an Imperial Ocean Mining World, that is being invaded by the Tyranids. However the remnants of the world's PDF, the Imperial Navy, several Astra Militarum Regiments, the Tome Keepers and an allied Leagues of Votann strike force, are attempting to save it. They are not only fighting the invading Tyranids, though, but also the Genestealer Cult that infected Samarkis and drew the Xenos to the Mining World.
Torodaris	Torodaris is an Imperial Agri World, that has teeming insect farms. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here. Torodaris was created by the Games Workshop employee Andy Clark and appeared in White Dwarf 481.
Green Kroosade	The Green Kroosade (or Green Krusade) is a massive Ork Waaagh! that has engulfed the Scarus Sector in the wake of the 13th Black Crusade. It was originally orchestrated by elements of the Night Lords and Alpha Legion in order to provide the forces of Chaos with mercenaries. The sudden rise of the Orks posed a new and unexpected threat to the Imperial defenders. Currently the Green Kroosade is holding the planets Lethe Eleven and Mordax as well as most of Imbrium and Ulants. Gudrun and Nysa Stromolo are on the brink of anarchy and only the intervention of the Black Templars and Salamanders could prevent the Orks from claiming Thracian Primaris and Enaur Delta. The overall situation in the Scarus Sector is grim and there seems to be no halt to the green tide.
Second Sphere of Expansion	The Second Phase of Expansion (018.M39- ~700.M41[1b]) was the second major phase of expansion for the Tau Empire, launched with the advent of the ZFR Horizon Accelerator Engine, which finally allowed the Tau to achieve long-range space travel.[1a] With a faster fleet and armies bolstered by new Kroot allies, the Ethereal Supreme, Aun'Wei, declared a new phase of expansion ready. The campaign was launched from each of the new Septs established during the First Sphere of Expansion. In 053.M39, the Vespid were successfully integrated into the empire while in 393.M39 N'dras was colonized.[1b]. In 576, the first Battlesuits, the T-series prototypes, were deployed by the Tau.[1b] It was during this time that Commander Puretide achieved legendary fame for the Tau, scoring victories that led to the establishment of Septs such as Tash'var and Elsy'eir. Puretide went on to thwart an Ork invasion that threatened Au'taal. The last breakthrough of the Second Sphere of Expansion was the successful crossing of the Damocles Gulf, something that led to first contact with the Imperium. The destructive wars with Humanity that followed were unlike anything the Tau had experienced and brought an end to the Second Sphere of Expansion.[1a] New Septs established during the campaign included Au'taal, N'dras, Ke'lshan, Elsy'eir, Tash'var, Vash'ya, and T'olku.[1a] During the Second Sphere of Expansion, the Tau Empire encountered Hive Fleet Gorgon, the greatest threat the Tau had yet faced.[1a]
Signal to Noise (Short Story)	Signal to Noise is a short story by C.Z. Dunn. Travelling aboard a warship of the Black Templars, Sister Agentha of the Adepta Sororitas Orders Dialogus finds that her skill with languages is required when the vessel intercepts an ancient message, potentially dating back to the dawn of the Imperium – and containing the voice of the Emperor Himself. But with vicious aeldari raiders closing in, can Agentha complete her task in time? And will the Black Templars even want to hear the voice of their god?
Balcarhsa	Balcarhsa is an Imperial world.
Krandor III	Krandor III was an Imperium world, that suffered a massive Chaos Cult led rebellion in 853.M41, which resulted in it being destroyed by Exterminatus. It raised Astra Militarum Regiments known as the Krandorian Guard and forty two of them were fighting elsewhere, when Krandor III was destroyed. When they learned of its fate, the surviving Krandorian Guardsmen vowed to exact revenge against the followers of the Chaos Gods.
Macharia	Macharia is an Imperial Shrine World in Segmentum Pacificus. It was originally known as Donia. It is most famous for being the homeworld of Lord Commander Solar Macharius and the site where he began his famous Macharian Crusade. Originally known as Donia, upon Macharius' rise to power it was renamed by him to Emperor's Gift and again in the latter stages of the Crusade to Emperor's Glory. After Macharius' death, it was again renamed Macharia in his honor and became the Lord Commander's resting place. Spoils from the Macharian Crusade made Macharia fabulously wealthy, a status it still enjoys today. Macharia is comparatively easily reached by the Warp for inexplicable reasons which the Ecclesiarchy heralds as a miracle and proof of the Macharius' status as a saint. The planet is covered in marble buildings and shrines, the largest of which can be seen by orbit. Massive numbers of pilgrims, zealots, and beggars inhabit the world, which are kept in line by Frateris Militia. Despite is grandeur and wealth, Macharia's lower levels are nonetheless known to a dark impoverished underbelly nicknamed the "shame of Macharia".
Crenax IV	Crenax IV is a world located in Ultima Segmentum.
Mpandex	Mpandex is a Forge World in the Gothic Sector.
Mendona	Mendona is a War World of the Imperium. Mendona's polar caps are a vital part of the communications network of the Ultima Segmentum, and it has been a constant target of raids and invasions from the beginning of its settlement. So intense is the fighting on Mendona, that no civilian population remains.
Gothic Sector	The Gothic War was Abaddon's 12th Black Crusade which saw the ravaging of the Gothic Sector and the capture of two Blackstone Fortresses. In the lead up to the Gothic War during 142.M41, a cataclysmic shockwave passed through the warp and the entire sector was engulfed in a warp storm cutting it off from outside help. Battlefleet Gothic, the Imperial Navy Battlefleet of the Gothic Sector, fought against many Chaos fleets led by individual Warmasters - estimates vary from eight to twenty or more Chaos fleets present, each capable of rivaling an Imperial battlegroup - as well as pirates of the Eldar and the unconfirmed presence of a Craftworld, Ork pirates, and also human pirates. The death toll on both Imperial and Chaos sides ran into the millions; planets were invaded and recaptured and bases attacked all the while the sector was isolated from outside Imperial help.[1c] In 151.M41, almost ten years later, did the warp storms finally begin to abate allowing reinforcements to arrive. With an alliance between the Imperium and the Eldar, Abaddon's fleet was located and pursued to the Schindlegeist system where the deciding battle of the war took place, seeing Abaddon beaten. It wasn't until 160.M41, almost twenty years after the start of the war, that the sector recovered its planets and trade routes from the threat of remaining Chaos fleets, pirates and Orks.[1c]
Drondii	Drondii is an Imperial world.
Inwit Cluster	The Inwit Cluster, also known as the Inwit System, is a closely grouped together series of Ice Worlds, that belong to the Imperium.[1a] Among them, is Inwit which was the Homeworld of the Imperial Fists' Primarch Rogal Dorn. He would rule the Inwit Cluster, until Dorn was rediscovered by the Emperor in 835.M30 and left it to take part in the Imperium's Great Crusade[1a]. Inwit then became the Homeworld of the Primarch's Imperial Fists Legion and it was for this reason, that it was targeted by Warmaster Horus' forces during the Horus Heresy. The Inwit Cluster would be attacked as well, in a campaign that lasted for four years. Furthermore, A vast Traitor fleet led by elements of the Emperor's Children wrought terrible destruction upon the region. Eventually, however, the Siege of Terra drew the Traitors away from the Cluster, though, a string of its worlds were left as burning wastelands.[1b]
Ath-Ethon	Ath-Ethon is a world that is being monitored by the Eldar. The Autarch Kael Ra once defended the world from Orks.
Hemisphere	Hemisphere is an Imperium Hive World that suffered a Chaos uprising in 864.M41.
Horos	Horos was the site of a battle for the Brazen Beasts Warband against a splinter of Hive Fleet Behemoth in 985.M41. The Brazen Beasts were victorious and destroyed the Splinter Fleet, though they were all but exterminated in the process.
Waste World	Waste Worlds is an Imperial term given to some of its worlds.
Crusade of Fire (Campaign Book)	Crusade of Fire is a campaign expansion for the 6th Edition of Warhammer 40,000 by Games Workshop. The campaign itself takes place in the Corvus Sub-sector and pits the Crusade of Fire against the Servants of Ruin and Prophets of War. It also features rules for playing games in the gladiatorial arenas of Commorragh as well as for fighting battles on the surface of a Daemon World.
Malice (planet)	Malice is a War World in the Calixis Sector. It is the front line of the Wrack War. Necrophagic Cults have sprung up in the wake of the war. Inquisitor Soldevan, slew the Psi-Abomination of the Bloodmind on Malice.
Lassiv	Lassiv is a Dead World in the Hecuba Sector. The former missionary, now wanted heretic Coriolanus Vestra corrupted the population of Lassiv to the worship of Chaos and incited them to kill the Planetary Governor. The planet and its population were later destroyed by Exterminatus, though Vestra would escape and go on to corrupt more worlds.
Antecanis IV	Antecanis IV was an Imperial world until it was assaulted by the forces of Daemon Prince Dhar'leth and his Black Legion army. The following information is not to be regarded as officially sanctioned and/ or is not written from an in-universe point of view. A detailed explanation of the term "Trivia" as used in the Lexicanum can be found here. Antecanis is a rarely used alternative name for Procyon, the brightest star in the constellation of Canis Minor.
Kreneddis	Kreneddis is an Imperial Hive World, that is currently being invaded by the Black Legion. The once-revered Polar Hive has recently been destroyed by the Traitor Legion, though reinforcements sent by Ultramarines have now arrived there. However, they are too late to save the millions of Imperials that once lived in the Hive and the sight of the Space Marines has caused the Black Legion's hatred to surge anew.
Elipax	Elipax is an Imperium world that was infested by the Hrud sometime after the Great Rift's creation. The Ultramarines' Fulminata demi-Company later arrived and cleansed the world of the Hrud and destroyed the Xenos' ship-nest that was in Elipax's orbit.
Ephraeleon	Ephraeleon was an Exodite World that was destroyed by Tyranids.
Taslan's Forge	Taslan's Forge is a Forge World of the Imperium.
Rhodus	Rhodus is a current warzone between Orks and the Astra Militarum.
Dank IV	Dank IV was the site of a battle for the Catachan CMIII Regiment.
Empesal	Empesal is an Imperium world that was brought into Compliance during the Great Crusade. During the Great Crusade, the remnants of the 670th Expedition Fleet and an Alpha Legion strike force retreated to Empesal, after their failed Compliance of Nurth; which had been destroyed by the activation of a Chaos weapon, known as the Black Cube. Though the Alpha Legion was able to evacuate its entire forces, the 67th Expedition Fleet had been forced to leave half of its forces behind in its desperate escape from the doomed world. Despite this, the Primarch Alpharius was able to convince the 670th's Lord Commander, Teng Namatjira, that its aid was needed to defeat a major threat to the Imperium, located on 42 Hydra Tertius. Namatjira was eager to remove the stain, Nurth had left in his otherwise impressive campaign record and forcibly conscripted several Imperial Army Regiments and warships, that were on Empesal. After the 670th had been strengthened by these reinforcements, it quickly departed with the Alpha Legion; though nearly eight thousand Imperial Army survivors of the Nurth campaign were left behind on Empesal, due to their injuries.
Eilixo	Eilixo was the site of a battle involving the White Scars Legion during the Great Crusade.
Hualda-IX	Hualda-IX was brought into Compliance by the Imperium during the Great Crusade. Among the forces who made this possible was the Primarch Fulgrim and his Emperor's Children Legion.
Hale	Hale was a world of the Imperium. At the time of the Horus Heresy it existed little more as a isolated outpost for a single company of the Ultramarines who used it to guard shipping routes between Ultramar and the wider Imperium. In 007.M31 it was attacked by three World Eaters chapters as part of the Shadow Crusade. However, the rebels had underestimated the tenacity of the Ultramarines, leaving only a single Chapter of their own to secure the warp channels of the region before departing. Within a month, the survivors of the Ultramarines force had returned, along with stragglers from the Loyalist forces fleeing the Isstvan system and other garrison forces, and set upon the World Eaters, their numbers greater than the Traitors. In a bitter campaign stalemate endured until the arrival of Dark Angels forces from the Thramas Crusade led by the Battlecruiser Fifth Horseman. In reward for their stalwart bravery, Lion El'Jonson would later decree that they could bear the symbol of his Legion, for those that fought by his side with honor would ever be truest sons. Even in these latter days, with the Ultramarines scattered by the edict of the Second Founding, there remain a few that still carry a vambrace or pauldron in the stark black of the Lion's heraldry.
Bront	Bront is an Imperial Hive World located in the Golgenna Reach subsector of the Calixis Sector, and is home to the Brontian Longknives regiments of the Imperial Guard.
The Ultramarines Omnibus	The Ultramarines series by Graham McNeill follows the actions of Ultramarine Captain Uriel Ventris. The first three novels are collected in "The Ultramarines Omnibus", along with the short story "Chains of Command." The fourth, fifth, and sixth novels, along with the short story Eye of Vengeance and the graphic short Black Bone Road are collected in a second omnibus titled "Ultramarines: The Second Omnibus", released on May 22, 2012. The first omnibus was re-released in 2019 as The Uriel Ventris Chronicles: Volume 1 (Omnibus). In addition to all the previously included stories, it also contains the stories Leviathan (Short Story) and Consequences (Short Story). The second omnibus was released later same year as Uriel Ventris: Volume 2 (Omnibus). Alongside all of the content found in the original second omnibus, it also contains the stories Codex (Short Story) and Do Eagles Still Circle the Mountain? (Short Story)
Balhaut	Balhaut is a planet in the Sabbat Worlds cluster. Balhaut was one of the key objectives set by Warmaster Slaydo at the start of the Sabbat Worlds Crusade. Operation Redrake and Operation Newfound were both prosecuted with the end-goal of Balhaut in mind, and its liberation from the forces of Chaos was the ultimate culmination of ten years of fighting. The Battle of Balhaut in M41.765 was the most significant Imperial victory of the early Sabbat Worlds Crusade and saw the death of Archenemy Archon Nadzybar, but it came at a heavy cost, and Slaydo died of wounds suffered in single combat with the Archon. On his deathbed, Slaydo made the recently promoted Marshal Macaroth the new crusade Warmaster.[1a] Balhaut itself suffered badly during the battle, and an extensive programme of repairs was barely underway in M41.780 when the Tanith First and Only Astra Militarum regiment were rotated there for convalescence away from the front lines. The Tanith First's commander, Colonel-Commissar Ibram Gaunt, had fought on Balhaut while attached to the Hyrkan Regiments and achieved recognition for breaching the Oligarchy Gate and bringing down the Tower of the Plutocrat during the climax of the fighting at Balopolis. Incidentally, he was also known to a high-level enemy prisoner being held at Section, Balhaut's Commissariat HQ, who refused to speak to anyone but Gaunt.[1b]
Knarr	Knarr was the site of a battle between the Dark Hunters Chapter and the forces of Tank Boss Badfragg, which saw the Orks defeated by the Space Marines.
Asmasoria II	Asmasoria II is a location where Orks of the Evil Sunz Clan fought on dust plains, supported by a Gargant.
Asterion	Asterion is a Hive World in The Periphery subsector of the Calixis Sector.
Eidolon (Daemon World)	Eidolon is a former Eldar Maiden World hidden deep in the heart of the Eye of Terror. The land mass of the planet is in a constant state of flux and is divided into several continents, each claimed by different Chaos powers who wage eternal wars to encroach into other territories. The planet is supposedly home to many valuable ancient artefacts dating back to the Fall of the Eldar. Victories by the Eldar of Biel-tan have carved several enclaves of sanity in the planet's roiling seas of possibility with which they hope to one-day stabilize and reclaim lost secrets.
Nalahsa	Nalahsa was the site of a battle for the Word Bearers Legion's 34th Company and Orks, during the Great Crusade. The Word Bearers were led by their Captain Sor Talgron and were accompanied by the Chaplain Jarulek. It would be Jarulek who led a counter-attack during the battle, which targeted the Xenos' Warlord. The Chaplain's attack drove a wedge into the Orks' forces and then killed their Warlord, which ultimately led to the Xenos' defeat.
Orthoda Rex	Orthoda Rex is a Cardinal World of the Imperium. During an uprising caused by Kayloss the Detractor and his cultist followers, the walled capital of Rex Primaris was surrounded. The cultists managed to destroy a portion of the walled defences and would have overrun the capital, had the Warlord Titan Tyrannus Maximus not held their forces back. The Titan held the breach for seventeen hours, until reinforcements from the Marines Errant Adeptus Astartes Chapter arrived to turn the tide of battle.
Glacia IX	Glacia IX is an Imperium Ice World that is plagued by ice storms that can easily flay flesh from bones.
Lammas Campaign	The Lammas Campaign occurred in 987.M41[2a] on Lammas where Imperial forces fought against Eldars of the Biel-Tan Craftworld.[1b] War raged for at least 15 years without any abating. Whilst Imperium have been committed large force to defend the planet, Eldar were dominated in the air, so small gains have been made by the Emperor's servants.[1a] The Imperium used in this conflict many Regiments, for example Valstadt 13th Armoured Regiment[2b], while the main air might of the Eldar consisted of the Nightwing fighters squadrons.[1a] In one celebrated (but carefully concealed) engagement, a massed Eldar assault in the Campaign was halted by a lone Vindicare Assassin hiding in a ruined tower. The Eldar advance in the face of this tower was stalled again and again by a hail of deadly sniper fire which slew Exarchs, Warlocks, and Support Weapons crews in quick succession. Eventually, the Eldar called in their scouts to clear the tower, but when they entered it they found it full of grenade traps ready to meet them.
Messia	The world of Messia is planet located within the Screaming Vortex, notable for the mutant hordes that roam the surface, but it's best known for its unusually long day and its desperate promethium miners. Overall the planet is a harsh, toxic Desert World where a day lasts over a year, with human habitation only within the city states of Mekonta and Zanok upon at the north and south poles, respectively. In order to heat their structures and provide basic power, these two cities constantly send teams of prospectors to travel across the planet’s surface in search of promethium. As the competing miners travel the desolate landscape, they must regularly face and overcome the massive hordes of mutants that constantly shamble across the surface, and change form with the rising and setting of the sun. Located at Messia’s north pole, Mekonta is a city whose culture is based on domination and force of arms. The majority of the city’s population are slaves, some earn the right of a chance at upward social mobility within the city’s arenas, while most must rebuild the city's day side in hellish conditions as the city is constantly breaking down from its harsh sunlight. Mekonta’s society is based largely upon its system of government and inheritance: property must be earned by every citizen, no inheritance will pass to the next generation. Once children reach the age of maturity of fifteen years, they will be exiled from their parents’ homes to either become a property owner or a slave. When an individual dies, his neighbours immediately vie over his assets; the victor claims the property and the losers often become the victor's slaves.
Mertiol	Mertiol was a Colony World of the Imperium that was attacked by the forces of Horus during the Heresy. Only a few Loyalist ships bearing civilians and military troops managed to escape Mertiol before it was conquered by the traitorous Warmaster.
Ksi'm'yen	Ksi'm'yen is a Tau Sept world and a third phase colony. Once it was an Imperial world. After the Tau conquered it, those humans who swore their allegiance to the Greater Good were moved deeper into the Tau Empire to assure their safe life from the vengeful Imperium.. This colony is largely associated with luck, subtlety, and opportunistic subterfuge. It was the first of the Third Phase Colonies, and conquered largely by stealth. While the defense forces of the world were absent, combating another threat, a large force of Tau moved in and took the world without opposition.
Augury	Augury is the 8th and final member of the Black Legion organization dubbed the Hand of Abaddon.[1a] A Psyker capable of changing her form[1a], Augury closely allied herself with fellow Hand member Tenebrus' disciple Tharador Yheng. She aids Yheng in increasing her abilities and in her power struggle with both the Iron Magus and later Tenebrus, believing she has been destined by the Dark Gods for greatness.[1b] She later helps Yheng escape from the Blackstone Fortress during the Battle of the Stygius Gilt and leads her to Graeyl Herek and the reforged Anathame, now dubbed Culler.[1c]
Pyrrhia	Pyrrhia is a Necron Tomb World. Originally the realm of the powerful Necron Overlord Anrakyr the Traveller, Anrakyr and his legion of Immortals known as the Pyrrhian Eternals abandoned Pyrrhia to begin the Traveller's expedition throughout the Galaxy.
Loriar	Loriar is an Imperial Death World.
Cybele	Cybele is a Cemetery World of the Imperium, located in the Ultima Segmentum. Designated Mausoleum Valorum by the Ecclesiarchy, millions of Imperial war casualties are interred beneath its soil.[2a] Although the planet had no resources or strategic value, in late M41 the Word Bearers Dark Apostle Iskavan the Hated led an invasion of the planet, hoping to capture it for a propaganda victory.[2a][2b] The planet also witnessed the first prodigy by Arkio the Blessed, when the young Blood Angel provided the outnumbered Blood Angels force defending the planet with a tactical plan and the inspirational leadership needed to drive the Word Bearers off the planet.[2c]
Augura	Augura was a staging post for a Tau expansion into Imperial space in the Zeist Sector, the Imperial retaliation being known as the Zeist Campaign. By the end of the campaign, forces from over a dozen Space Marine Chapters had fought against the Tau, forcing them to evacuate the planet. By that time, though, all military and defensive infrastructure lay in ruins.
Koralkal	Koralkal is an Imperial world.
Birmingham	Birmingham is a major regimental tithe world, recruiting between five and ten million Imperial Guardsmen every year.[2a] Birmingham is also the homeworld of the Harbingers Space Marine Chapter. Birmingham is also known as the Black Planet, as it receives almost no visible light from its system's sun. As a result, the planet receives few visitors, and its inhabitants have become linguistically and culturally isolated. Its technology is primitive compared to the rest of the Imperium, as the musket is still in use among the natives.
Nhadakin	Nhadakin is a world of the Imperium. They supplied Imperial Guard Regiments to the Second Agrellan Campaign.
The Blood of Angels (Short Story)	Many are the secrets of the Legiones Astartes, but few are as dark as those of the descendants of Sanguinius, angelic primarch of the Blood Angels.
Port Wrath	Port Wrath is an combination dockyard and naval base in Golgenna Reach within the Calixis Sector. It serves as the headquarters for Battlefleet Calixis and is the mainstay Imperial Navy installation in the sector. It half protrudes from a metallic planetoid orbiting the white dwarf star Mundus, and bristles with lance batteries matching the firepower of most fleets. In 815.M41 the commander of Port Wrath was Rear Admiral Zoila Kusch, who had served in that capacity for over fifty years by that point.
Khongkotan	Khongkotan is a world of the Imperium. Khongkotan is a bleak world full of canyons, cavern systems and backstabbing tribesmen. However, the feral tribesmen's great eyesight and sense of smell make them excellent scouts and snipers for the Imperial Guard.
Spaeter Relixas	Spaeter Relixas is an Imperium world known for the stirring warrior-poems of its militant priests.
Sanctum	Sanctum is the homeworld of the White Templars Space Marine Chapter. A place of towering mountains, verdant plains, and techno-barbarian tribes, Sanctum is the homeworld of the White Templars. During the Fourth Tyrannic War, the Chapter acceded to it becoming one of the key Anchor Worlds of the Imperium to meet the Tyranid threat. As a result, vast swathes of the planets unspoiled wilderness were transformed into city-sized fortresses, spaceports, and supply depots. This did not bother the White Templars, who only regretted that they largely could not man these fortifications themselves as most of their strength was away on the Indomitus Crusade deep inside Imperium Nihilus. In the subsequent Battle of Bastior, Sanctum itself faced a massive Tyranid invasion from Grendyllus that was only blunted thanks to the efforts of Trajann Valoris. However, Tyranids still plague the world.
Nimbosa Crusade	When Hive Fleet Kraken began to threaten worlds on the Eastern Fringe of the Imperium, the High Lords of Terra responded by stripping the worlds on the border with the T'au Empire of Imperial forces. The T'au were quick to recognise this redeployment and soon moved to take advantage, beginning the period known as the Second Sphere Expansion.The T'au had soon annexed a whole swathe of Imperial worlds along the border. Nimbosa was one of the most important of these worlds. The T'au forces under the command of Commander Brightsword began the invasion with a landing of overwhelming numbers. They soon controlled most of the world and started a systematic extermination of the populace. The only Imperial force left able to resist after the first phase of the expansion was the Vostroyan Firstborn IX under the command of Graf Toschenko, who moved quickly to fortify the factory city of Polia. Brightsword's first thrust used Kroot to identify Imperial Guard strong points to be bombarded by the T'au armour. Kroot auxiliaries suffered heavily in the push but the strategy was successful and the T'au eventually gained a foothold in the city which then began to grow. Graf Toschenko had come to realise that the T'au policy of isolating and reducing each stronghold would soon break his hold on the city, so he authorized a counterattack, the main blow of which fell around the central Cathedral.
Lucius (Forge World)	Lucius is a Forge World and is home to the Legio Astorum Titan Legion (AKA the "Warp Runners").[1a][3b] It also is the place of origin of the Macharius-class super-heavy battle tank.[4b] The name of this world originates from Luciun, a unique alloy renowned for its durability. The war-plate and weapon of the armies of Lucius is made of Luciun, so the warriors of Lucius's forces have improved resilience against small-arms fire. A hollow world[3b] (one of the Supernatura Majoris of the Imperium[3b]), Lucius has been part of a grand experiment that should have destroyed it a dozen times over. The centre of its once-barren core is an artificial sun, a titanic fusion reactor that powers the industry sprawling above. No one truly knows how this energy source came to be, though many Tech-Priests take credit. Lucius' boundless power supply has made it a forefront of military production, producing many types of guns and vehicles. Their Ironstriders and Onager Dunecrawlers are the most bellicose of all the Skitarii legions. Their Titan Legion are the infamous Legio Astorum,[3b] whose Princeps are trained at the Clone Academy located in Lucius' Overcity.
Aspen II	Aspen II is an Imperial Civilized World.
Kattyak	Kattyak is a world of the Imperium. It was the last planet on the route that Ingvar Orm Eversson of the Space Wolves Chapter took after concluding his tour of service with the Deathwatch to return to his homeworld, Fenris.
Elara Prime	Elara Prime is an Imperium world.
Hoight	Hoight was a Garden World liberated during the Macharian Crusade.
Choidenmirn	Choidenmirn is an Eldar Maiden World that is claimed by the Craftworld Ulthwé. It was once colonized by the Imperium, but in M32 Ulthwé launched a devastating attack that allowed them to retake possession of the Maiden World.
Iron Devil (Audio Drama)	Iron Devil is an audio drama by C.L. Werner, published in June 2014. It was rereleased as a e-book in November 2018. The last survivors of their company, the battered remnants of the Cadian 267th trek across the deadly toxic deserts of Sanzu in search of salvation. Taking shelter in a damaged Adeptus Mechanicus facility, they think they have found a place to await reinforcements – but something lurks in the darkness, something large and dangerous and determined to kill every last Imperial Guardsman. The Morkanaut awaits...
Arx	Arx is another exit (though unstable) from the Eye of Terror besides the Cadian Gate, and has been the starting point of Black Crusades by the forces of Chaos. It was from here that Abaddon the Despoiler began the Gothic War by raiding the research and monitoring station in 139.M41. It bypasses the Cadian Gate, as such making it an attractive place from which to attack.
Cullrak	Cullrak was the site of a victorious battle for the Eldar of Craftworld Mymeara against a Daemon incursion on the planet in 232.M41. Immediately after the battle, the Dark Eldar Kabal of the Fiend Ascendant launched a raid on Cullrak and targeted the Soulstones of the Eldar that fell against the Daemons. Already left weakened by their previous battle and fearing that the Kabal would debase the souls of their dead should they escape back to Commorragh, the Eldar of Mymeara had no choice but to unleash their Ghost Warriors. Once the awakened wraith-constructs attacked the Kabal, they launched one of the most vengeful strikes in Mymeara's history, causing numerous Kabalites and their Raiders to be incinerated by searing plasma blasts.
Morlond	Morlond was a heavily-contested Fortress World that was assaulted by the Imperial Guard during the Sabbat Worlds Crusade. Because the entire Crusade's advance was stalled while Morlond remained in the Chaos forces' hands, Warmaster Macaroth led the invasion in person.[Needs Citation]
Kol'hoosi	Kol'hoosi is a Sept of the Tau Empire. Difficult fighting took place here between T’au forces and hordes of be’gel, during which some Fire Warriors are known to have fled in fear. At least one T’au survivor of the conflict was reassigned to Phaedra as a result.
Lethys	Lethys is a world of the Imperium. Inquisitor Lyon instigated a purge of Lethys's Planetary Governor and his household after his aide, Mason Burke, corrupted him into the worship of Chaos. During the purge Lyon would confront Mason in the Governor's palace, shooting him in the head and causing him to fall off of a balcony. Though Lyon had the palace's grounds searched, Mason's body was never found.
Esko	Esko is an Imperial world, located in the Reductus Sector of the Segmentum Tempestus.
